Gene,Cluster
hsa:2549,91
hsa:926,28
hsa:2717,24
hsa:9266,9
hsa:9019,85
hsa:5347,8
dr:D08234,0
hsa:5327,85
hsa:57121,88
hsa:516,56
hsa:57104,38
cpd:C00745,53
hsa:4249,38
hsa:22925,54
hsa:10524,54
cpd:C20970,71
hsa:4800,29
hsa:2193,29
hsa:3133,32
hsa:84938,45
hsa:3274,58
hsa:3626,3
hsa:283208,91
hsa:7066,51
hsa:2069,30
hsa:7089,53
hsa:23708,18
hsa:9080,32
hsa:4646,32
hsa:10365,11
cpd:C02140,43
hsa:5871,30
hsa:9610,12
hsa:7048,12
hsa:23001,12
hsa:28227,13
hsa:6928,39
hsa:710,14
hsa:60,43
hsa:5292,14
hsa:51763,3
hsa:79799,6
hsa:9538,88
hsa:10170,14
hsa:5244,51
hsa:374654,10
hsa:1555,56
hsa:440,39
hsa:253260,39
hsa:5366,29
hsa:90993,35
hsa:50674,13
hsa:4698,55
hsa:4540,39
hsa:3155,32
hsa:3628,7
hsa:406947,56
hsa:8833,88
hsa:6372,1
cpd:C01327,20
hsa:22849,72
path:hsa00260,33
hsa:11253,85
hsa:253430,41
cpd:C05122,18
hsa:9630,45
hsa:26050,71
hsa:4718,65
hsa:406995,68
hsa:1278,65
hsa:23365,80
hsa:1232,39
hsa:3459,27
hsa:1154,43
hsa:7416,35
hsa:23646,8
hsa:1849,38
hsa:4541,3
hsa:3099,56
hsa:4099,42
hsa:3376,88
hsa:9839,23
hsa:942,78
hsa:8193,7
hsa:943,34
hsa:10398,35
hsa:574457,88
hsa:148789,28
hsa:79602,14
hsa:57863,71
hsa:5350,52
hsa:407010,2
hsa:2990,78
hsa:56985,23
hsa:2921,78
hsa:10399,46
hsa:29785,56
hsa:4952,41
hsa:4728,60
hsa:5721,8
hsa:3688,7
hsa:5663,52
hsa:7514,17
hsa:1636,51
hsa:3481,30
hsa:10062,30
hsa:1901,17
hsa:29929,17
cpd:C00388,30
hsa:3679,7
hsa:939,41
hsa:2161,88
hsa:3753,65
hsa:80326,30
cpd:C04483,40
hsa:896,10
hsa:113457,54
hsa:286151,72
hsa:11221,62
hsa:814,77
cpd:C22535,23
hsa:9023,31
hsa:3067,2
hsa:493869,16
hsa:7185,72
path:hsa00620,13
hsa:2810,28
hsa:80315,51
hsa:84735,0
hsa:6891,41
hsa:2903,71
hsa:3553,53
hsa:7849,82
hsa:9253,38
hsa:9985,74
hsa:79594,28
hsa:92359,30
hsa:5575,23
cpd:C15231,75
hsa:6812,87
hsa:100289462,87
hsa:9693,35
hsa:731,32
hsa:1235,71
hsa:83539,25
hsa:4914,6
hsa:406926,76
hsa:23446,2
hsa:4599,85
hsa:477,71
hsa:8326,78
hsa:6520,23
hsa:2569,10
hsa:2277,68
hsa:2920,35
hsa:57805,41
hsa:406981,29
hsa:1440,54
hsa:262,5
hsa:7332,45
hsa:3118,35
hsa:8784,71
hsa:23566,38
hsa:5819,20
